	0	1	2	3	4	5	6	7	8	9
750	13,529	13,549	13,568	13,587	13,607	13,626	13,645	13,665	13,684	13,703
760	13,723	13,742	13,761	13,781	13,800	13,819	13,839	13,858	13,877	13,897
770	13,916	13,935	13,955	13,974	13,993	14,012	14,032	14,051	14,070	14,090
780	14,109	14,128	14,147	14,167	14,186	14,205	14,224	14,244	14,263	14,282
790	14,302	14,321	14,340	14,359	14,378	14,398	14,417	14,436	14,455	14,475
800	14,494	14,513	14,532	14,551	14,571	14,590	14,609	14,628	14,647	14,667
810	14,686	14,705	14,724	14,743	14,762	14,782	14,801	14,820	14,839	14,858
820	14,877	14,897	14,916	14,935	14,954	14,973	14,992	15,011	15,030	15,050
830	15,069	15,088	15,107	15,126	15,145	15,164	15,183	15,202	15,221	15,241
840	15,260	15,279	15,298	15,317	15,336	15,355	15,374	15,393	15,412	15,431
850	15,450	15,469	15,488	15,507	15,526	15,545	15,564	15,583	15,602	15,621
860	15,640	15,659	15,678	15,697	15,716	15,735	15,754	15,773	15,792	15,811
870	15,830	15,849	15,868	15,887	15,906	15,925	15,944	15,963	15,982	16,001
880	16,020	16,038	16,057	16,076	16,095	16,114	16,133	16,152	16,171	16,190
890	16,208	16,227	16,246	16,265	16,284	16,303	16,322	16,340	16,359	16,378
900	16,397	16,416	16,435	16,453	16,472	16,491	16,510	16,529	16,547	16,566
910	16,585	16,604	16,623	16,641	16,660	16,679	16,698	16,716	16,735	16,754
920	16,773	16,791	16,810	16,829	16,848	16,866	16,885	16,904	16,923	16,941
930	16,960	16,979	16,997	17,016	17,035	17,053	17,072	17,091	17,109	17,128
940	17,147	17,165	17,184	17,203	17,221	17,240	17,258	17,277	17,296	17,314
950	17,333	17,352	17,370	17,389	17,407	17,426	17,444	17,463	17,482	17,500
960	17,519	17,537	17,556	17,574	17,593	17,611	17,630	17,648	17,667	17,686
970	17,704	17,723	17,741	17,760	17,778	17,796	17,815	17,833	17,852	17,870
980	17,889	17,907	17,926	17,944	17,963	17,981	17,999	18,018	18,036	18,055
990	18,073	18,092	18,110	18,128	18,147	18,165	18,184	18,202	18,220	18,239
1000	18,257	18,275	18,294	18,312	18,330	18,349	18,367	18,385	18,404	18,422
1010	18,440	18,459	18,477	18,495	18,513	18,532	18,550	18,568	18,587	18,605
1020	18,623	18,641	18,660	18,678	18,696	18,714	18,732	18,751	18,769	18,787
1030	18,805	18,824	18,842	18,860	18,878	18,896	18,914	18,933	18,951	18,969
1040	18,987	19,005	19,023	19,041	19,060	19,078	19,096	19,114	19,132	19,150
1050	19,168	19,186	19,204	19,223	19,241	19,259	19,277	19,295	19,313	19,331
1060	19,349	19,367	19,385	19,403	19,421	19,439	19,457	19,475	19,493	19,511
1070	19,529	19,547	19,565	19,583	19,601	19,619	19,637	19,655	19,673	19,691
1080	19,709	19,727	19,744	19,762	19,780	19,798	19,816	19,834	19,852	19,870
1090	19,888	19,905	19,923	19,941	19,959	19,977	19,995	20,013	20,030	20,048
1100	20,066	20,084	20,102	20,120	20,137	20,155	20,173	20,191	20,208	20,226
1110	20,244	20,262	20,279	20,297	20,315	20,333	20,350	20,368	20,386	20,404
1120	20,421	20,439	20,457	20,474	20,492	20,510	20,527	20,545	20,563	20,580
1130	20,598	20,616	20,633	20,651	20,669	20,686	20,704	20,721	20,739	20,757
1140	20,774	20,792	20,809	20,827	20,845	20,862	20,880	20,897	20,915	20,932
1150	20,950	20,967	20,985	21,002	21,020	21,037	21,055	21,072	21,090	21,107
1160	21,125	21,142	21,160	21,177	21,195	21,212	21,230	21,247	21,265	21,282
1170	21,299	21,317	21,334	21,352	21,369	21,386	21,404	21,421	21,439	21,456
1180	21,473	21,491	21,508	21,525	21,543	21,560	21,577	21,595	21,612	21,629
1190	21,647	21,664	21,681	21,698	21,716	21,733	21,750	21,768	21,785	21,802
1200	21,819	21,837	21,854	21,871	21,888	21,905	21,923	21,940	21,957	21,974
1210	21,991	22,009	22,026	22,043	22,060	22,077	22,094	22,112	22,129	22,146
1220	22,163	22,180	22,197	22,214	22,231	22,249	22,266	22,283	22,300	22,317
1230	22,334	22,350	22,368	22,385	22,402	22,419	22,436	22,453	22,470	22,487
1240	22,504	22,521	22,538	22,555	22,572	22,589	22,606	22,623	22,640	22,657
1250	22,674	22,691	22,708	22,725	22,742	22,759	22,776	22,792	22,809	22,826
1260	22,843	22,860	22,877	22,894	22,911	22,928	22,944	22,961	22,978	22,995
1270	23,012	23,029	23,045	23,062	23,079	23,096	23,113	23,129	23,146	23,163
1280	23,180	23,196	23,213	23,230	23,247	23,263	23,280	23,297	23,314	23,330
1290	23,347	23,364	23,380	23,397	23,414	23,431	23,447	23,464	23,481	23,497
1300	23,514	23,530	23,547	23,564	23,580	23,597	23,614	23,630	23,647	23,663
1310	23,680	23,697	23,713	23,730	23,746	23,763	23,779	23,796	23,812	23,829
1320	23,846	23,862	23,879	23,895	23,912	23,928	23,945	23,961	23,978	23,994
1330	24,010	24,027	24,043	24,060	24,076	24,093	24,109	24,126	24,142	24,158
1340	24,175	24,191	24,208	24,224	24,240	24,257	24,273	24,290	24,306	24,322
1350	24,339	24,355	24,371	24,388	24,404	24,420	24,437	24,453	24,460	24,485
1360	24,502	24,518	24,534	24,551	24,567	24,583	24,599	24,616	24,632	24,648
1370	24,664	24,680	24,697	24,713	24,729	24,745	24,762	24,778	24,794	24,810
1380	24,826	24,842	24,859	24,875	24,891	24,907	24,923	24,939	24,955	24,971
1390	24,988	25,004	25,020	25,036	25,052	25,068	25,084	25,100	25,116	25,132
1400	25,148	25,164	25,180	25,196	25,212	25,228	25,244	25,260	25,276	25,292
1410	25,308	25,324	25,340	25,356	25,372	25,388	25,404	25,420	25,436	25,452
1420	25,468	25,484	25,500	25,516	25,532	25,547	25,563	25,579	25,595	25,611
1430	25,627	25,643	25,658	25,674	25,690	25,706	25,722	25,738	25,753	25,769
1440	25,785	25,801	25,817	25,832	25,848	25,864	25,880	25,896	25,911	25,927
1450	25,943	25,959	25,974	25,990	26,006	26,021	26,037	26,053	26,069	26,084
1460	26,100	26,116	26,131	26,147	26,163	26,178	26,194	26,209	26,225	26,241
1470	26,256	26,272	26,288	26,303	26,319	26,334	26,350	26,366	26,381	26,397
1480	26,412	26,428	26,443	26,459	26,474	26,490	26,505	26,521	26,537	26,552
